Found 1614 results
17525980	Altered functional connectivity of primary visual cortex in early blindness.	Department of Radiology, Xuanwu Hospital of Capital University of Medical Sciences, Beijing, China.
22509052	Altered resting-state brain activity at functional MR imaging during the progression of hepatic encephalopathy.	Department of Medical Imaging, Jinling Hospital, Clinical School of Medical College, Nanjing University, 305 Zhongshan East Rd, Xuanwu District, Nanjing, Jiangsu Province 210002, China.
23171248	Altered cortical and subcortical local coherence in obstructive sleep apnoea: a functional magnetic resonance imaging study.	Department of Neurological and Sensorial Sciences, University of Siena, Siena, Italy; Center for Sleep medicine, University of Siena, Siena, Italy.
22629253	Frontoparietal Connectivity and Hierarchical Structure of the Brain's Functional Network during Sleep.	Neuroimaging, Max Planck Institute of Psychiatry Munich, Germany.
21998099	Functional connectivity during resting-state functional MR imaging: study of the correspondence between independent component analysis and region-of-interest-based methods.	Neuroradiology Unit, Fondazione IRCCS Istituto Neurologico "Carlo Besta," Milan, Italy. cristina.rosazza@istituto-besta.it
22227050	Task-driven ICA feature generation for accurate and interpretable prediction using fMRI.	FMRIB Centre, Department Clinical Neurology, John Radcliffe Hospital University of Oxford, UK. eugene.duff@gmail.com
23159011	Oxytocin, brain physiology, and functional connectivity: A review of intranasal oxytocin fMRI studies.	Department of Experimental Psychology, Utrecht University, Heidelberglaan 2, 3584CS Utrecht, The Netherlands; Autism Research Centre, Department of Psychiatry, University of Cambridge, Trumpington Road 18b, Cambridge CB2 8AH, United Kingdom. Electronic address: r.a.i.bethlehem@uu.nl.
18339559	Spatio-temporal characteristics of low-frequency BOLD signal fluctuations in isoflurane-anesthetized rat brain.	Department of Radiology, UMDNJ-New Jersey Medical School, Newark, NJ 07103, USA.
20700385	Glutamatergic and resting-state functional connectivity correlates of severity in major depression - the role of pregenual anterior cingulate cortex and anterior insula.	Department of Psychiatry, Otto-von-Guericke University Magdeburg, Germany.
19180557	Cardiorespiratory effects on default-mode network activity as measured with fMRI.	Rudolf Magnus Institute of Neuroscience, Department of Psychiatry, University Medical Center Utrecht, Utrecht, The Netherlands. m.vanbuuren-2@umcutrecht.nl
22770543	Fasting plasma insulin and the default mode network in women at risk for Alzheimer's disease.	Stanford Center for Neurosciences in Women's Health, Department of Psychiatry and Behavioral Sciences, Stanford University, Stanford, CA 95305-5723, USA.
22248579	The future of FMRI connectivity.	Oxford University Centre for Functional MRI of the Brain, UK. steve@fmrib.ox.ac.uk
23055045	Meta-analysis of functional roles of DICCCOLs.	School of Automation, Northwestern Polytechnical University, Xi'an, China.
20068581	Quantitative functional magnetic resonance imaging of brain activity using bolus-tracking arterial spin labeling.	Trinity College Institute of Neuroscience, Trinity College Dublin, Dublin, Ireland.
22817652	Variations in connectivity in the sensorimotor and default-mode networks during the first nocturnal sleep cycle.	Graduate Institute of Biomedical Engineering, National Central University, Taoyuan, Taiwan.
20226257	Multi-level bootstrap analysis of stable clusters in resting-state fMRI.	McConnell Brain Imaging Center, Montreal Neurological Institute, McGill University, Montréal, Québec, Canada. pbellec@bic.mni.mcgill.ca
22784032	Functional alteration in frontolimbic systems relevant to moral judgment in cocaine-dependent subjects.	Institute of Neuroscience F. Olóriz and Department of Clinical Psychology, Universidad de Granada, Spain; Human Pharmacology and Clinical Neurosciences Research Group, Neuroscience Research Program, IMIM-Hospital del Mar Research Institute, Parc de Salut Mar, Spain.
19607991	Fundamentals of electroencefalography, magnetoencefalography, and functional magnetic resonance imaging.	Department of Biomedical Sciences, University of Foggia, Foggia, Italy; Hospital San Raffaele Cassino, Cassino, Italy.
17804639	An energy budget for the olfactory glomerulus.	Master Program Molecular Biotechnology, Institute of Pharmacy and Molecular Biotechnology, University of Heidelberg, D-69120 Heidelberg, Germany.
23285086	Altered baseline brain activity with 72 h of simulated microgravity--initial evidence from resting-state fMRI.	Department of Psychology, School of Aerospace Medicine, Fourth Military Medical University, Xi'an, Shaanxi, China.
22418054	Dysfunction of default-mode network in encephalopathy with a reversible corpus callosum lesion.	Department of Neurology, Shimane University School of Medicine, Izumo, Japan. shingomi@med.shimane-u.ac.jp
23246859	Association between heart rate variability and fluctuations in resting-state functional connectivity.	Advanced MRI Section, Laboratory of Functional and Molecular Imaging, National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, MD, USA.
19162206	Exploratory structural equation modeling of resting-state fMRI: applicability of group models to individual subjects.	Biomedical Imaging Technology Center, Department of Biomedical Engineering, Georgia Institute of Technology/Emory University, Atlanta, GA 30322-4600, USA. ajames@bme.emory.edu
21390286	Resting-state FMRI and developmental systems neuroscience.	Department of Psychiatry and Behavioral Sciences, Stanford University School of Medicine Stanford, CA, USA.
20921381	EEG microstate sequences in healthy humans at rest reveal scale-free dynamics.	Department of Radiology and Medical Informatics, University of Geneva, 1211 Geneva, Switzerland. dimitri.vandeville@epfl.ch
18591915	Temporal clustering analysis: what does it tell us about the resting state of the brain?	Vanderbilt University Institute of Imaging Science and the Department of Radiology and Radiological Sciences, Vanderbilt University, Nashville, TN, USA.
21995039	Identification of individuals with MCI via multimodality connectivity networks.	Department of Radiology and Biomedical Research Imaging Center (BRIC), University of North Carol at Chapel Hill, NC, USA.
17182784	Brain connectivity related to working memory performance.	Department of Diagnostic Radiology, Yale School of Medicine, New Haven, Connecticut 06520-8042, USA. michelle.hampson@yale.edu
22381387	Default mode network abnormalities in idiopathic generalized epilepsy.	NYU Comprehensive Epilepsy Center, New York University School of Medicine, New York, NY, USA.
15195284	Functional connectivity as revealed by spatial independent component analysis of fMRI measurements during rest.	Laboratory for Neurophysiology and Neuroimaging, Department of Psychiatry, Johann Wolfgang Goethe-University, Frankfurt, Germany.
19889849	Intrinsic functional connectivity as a tool for human connectomics: theory, properties, and optimization.	Harvard University-Center for Brain Science, 52 Oxford Street, Cambridge, MA 02138, USA.
17604651	Mapping the functional connectivity of anterior cingulate cortex.	The Phyllis Green and Randolph Cowen Institute for Pediatric Neuroscience, NYU Child Study Center, 215 Lexington Avenue, 14th Floor, New York, NY 10016, USA.
21362335	Decreased regional homogeneity in major depression as revealed by resting-state functional magnetic resonance imaging.	Division of Mood Disorder, Shanghai Mental Health Center, Medical School of Colleague, Shanghai Jiao Tong University, Shanghai 200030, China.
22438575	Resting-state brain networks in type 1 diabetic patients with and without microangiopathy and their relation to cognitive functions and disease variables.	Diabetes Center/Department of Internal Medicine, VU University Medical Center, Amsterdam, the Netherlands. e.vanduinkerken@vumc.nl
22998631	Neural mechanisms of subclinical depressive symptoms in women: a pilot functional brain imaging study.	Carolina Institute for Developmental Disabilities, University of North Carolina at Chapel Hill School of Medicine, Chapel Hill, NC 27599-7160, USA. Jennifer.Felder@colorado.edu
22312418	Combining graph and machine learning methods to analyze differences in functional connectivity across sex.	Department of Biostatistical Sciences, Wake Forest University School of Medicine, Winston-Salem, NC, USA.
21182971	Network discovery with DCM.	The Wellcome Trust Centre for Neuroimaging, Institute of Neurology, University College London, London, UK. k.firston@fil.ion.ucl.ac.uk
19429043	Intrinsically organized network for face perception during the resting state.	Institute of Automation Chinese Academy of Sciences, Graduate School of the Chinese Academy of Sciences. Beijing, 100190, China.
22704643	Resting-state networks in adolescents with 22q11.2 deletion syndrome: associations with prodromal symptoms and executive functions.	Office Médico-Pédagogique Research Unit, Department of Psychiatry, University of Geneva School of Medicine, Switzerland. martin.debbane@unige.ch
22549209	Neural network functional connectivity during and after an episode of delirium.	Department of Psychiatry, Yonsei University Colle ge of Medicine, Seoul, Korea.
19507160	Functional segmentation of the brain cortex using high model order group PICA.	Department of Diagnostic Radiology, Oulu University Hospital, Oulu, Finland. vesa.kiviniemi@oulu.fi
18400794	Functional connectivity of human striatum: a resting state FMRI study.	Phyllis Green and Randolph Cowen Institute for Pediatric Neuroscience, NYU Child Study Center, New York, NY 10016, USA.
20605694	Abnormal baseline brain activity in patients with neuromyelitis optica: a resting-state fMRI study.	Department of Radiology, Xuanwu Hospital, Capital Medical University, Beijing 100053, PR China.
23047856	FMRI signal analysis using empirical mean curve decomposition.	Department of Computer Science and the Bioimaging Research Center, University of Georgia, Athens, GA 30602, USA. enetoremail@gmail.com
